2025-04-16 14:45:23 | tests.test_auth | DEBUG | response: <Response [401 Unauthorized]>
2025-04-16 14:46:15 | tests.test_auth | DEBUG | response: <Response [401 Unauthorized]>
2025-04-16 14:49:56 | tests.test_auth | DEBUG | old_refresh_token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ0ZXN0cmVmcmVzaEBleGFtcGxlLmNvbSIsInR5cGUiOiJyZWZyZXNoIiwiZXhwIjoxNzQ1NDEyNTk2fQ.du11KXfbvMpo7Ecp_BrAAOm5fEfxlmjwVnExtBNAEIQ
2025-04-16 14:49:56 | tests.test_auth | DEBUG | hashed_old_refresh_token: fc67e30cea76d642b880c5ac2eb3bfef44a16d38fdbc48d41848e9b2378a4b4f
2025-04-16 14:49:56 | tests.test_auth | DEBUG | old_refresh_token in headers: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ0ZXN0cmVmcmVzaEBleGFtcGxlLmNvbSIsInR5cGUiOiJyZWZyZXNoIiwiZXhwIjoxNzQ1NDEyNTk2fQ.du11KXfbvMpo7Ecp_BrAAOm5fEfxlmjwVnExtBNAEIQ
2025-04-16 14:49:56 | tests.test_auth | DEBUG | response: <Response [401 Unauthorized]>
2025-04-16 14:50:51 | tests.test_auth | DEBUG | old_refresh_token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ0ZXN0cmVmcmVzaEBleGFtcGxlLmNvbSIsInR5cGUiOiJyZWZyZXNoIiwiZXhwIjoxNzQ1NDEyNjUxfQ.Od-lgA2TEaz0zVQD_8HLF1llNsX5I7h4MJmxMDU49Kc
2025-04-16 14:50:51 | tests.test_auth | DEBUG | hashed_old_refresh_token: de7114f769f7ccba3cdd7b6861f906b334066ab889882aac454eb83f256a3c6a
2025-04-16 14:50:51 | tests.test_auth | DEBUG | hashed_old_refresh_token in headers: de7114f769f7ccba3cdd7b6861f906b334066ab889882aac454eb83f256a3c6a
2025-04-16 14:50:51 | tests.test_auth | DEBUG | response: <Response [401 Unauthorized]>
2025-04-16 14:55:40 | tests.test_auth | DEBUG | old_refresh_token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ0ZXN0cmVmcmVzaEBleGFtcGxlLmNvbSIsInR5cGUiOiJyZWZyZXNoIiwiZXhwIjoxNzQ1NDEyOTQwfQ.OxwBoIqhQfaCtBTIVzIpIW0trDe0GQ2MWMm8YTNoy8E
2025-04-16 14:55:40 | tests.test_auth | DEBUG | old_refresh_token: 6d4440e410c914b16c332bb439aac5af88a416d7d1417590d61e29dabb6794fb
2025-04-16 14:55:40 | tests.test_auth | DEBUG | old_refresh_token in headers: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ0ZXN0cmVmcmVzaEBleGFtcGxlLmNvbSIsInR5cGUiOiJyZWZyZXNoIiwiZXhwIjoxNzQ1NDEyOTQwfQ.OxwBoIqhQfaCtBTIVzIpIW0trDe0GQ2MWMm8YTNoy8E
2025-04-16 14:55:40 | tests.test_auth | DEBUG | response: <Response [401 Unauthorized]>
2025-04-16 15:07:39 | tests.test_auth | DEBUG | old_refresh_token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ0ZXN0cmVmcmVzaEBleGFtcGxlLmNvbSIsInR5cGUiOiJyZWZyZXNoIiwiZXhwIjoxNzQ1NDEzNjU5fQ.-JB-jHJ88y7oKiGpKZo0eX6zl4To0nH1L-txKzC2IhI
2025-04-16 15:07:39 | tests.test_auth | DEBUG | old_refresh_token: 59d9bcda7a583a9e2be81f0b0215defe5644318376e8b0bd76d67abf2248eba3
2025-04-16 15:09:09 | tests.test_auth | DEBUG | old_refresh_token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ0ZXN0cmVmcmVzaEBleGFtcGxlLmNvbSIsInR5cGUiOiJyZWZyZXNoIiwiZXhwIjoxNzQ1NDEzNzQ5fQ.j4ZJqGYLHnDwFV-4oBLIjbyuJFp4gWZCKjW7IjinuyU
2025-04-16 15:09:09 | tests.test_auth | DEBUG | old_refresh_token: 865fb71ce62d18aa4de10ac002f3b9d53ef35a9b311ca5d6e47a7fd8ab5bd784
2025-04-16 15:16:50 | tests.test_auth | DEBUG | old_refresh_token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ0ZXN0cmVmcmVzaEBleGFtcGxlLmNvbSIsInR5cGUiOiJyZWZyZXNoIiwiZXhwIjoxNzQ1NDE0MjEwfQ.E9Mh_LdANTXJLSXvgShQrH9RWVyYbIDEJI5lHHOWXp4
2025-04-16 15:16:50 | tests.test_auth | DEBUG | old_refresh_token: 0bdd4eb0a830d5d1dafed9a5e7dfc70f4cc4caea9728cdc5445b03e2f2661e23
